month,year,temperature
1,2023,12.6884365
2,2023,13.02199
3,2023,13.920503
4,2023,14.682119
5,2023,15.656844
6,2023,16.513958
7,2023,16.953045
8,2023,16.820782
9,2023,16.376835
10,2023,15.296075
11,2023,14.22416
12,2023,13.51016
1,2022,12.719148
2,2022,12.959093
3,2022,13.80296
4,2022,14.64484
5,2022,15.517326
6,2022,16.290703
7,2022,16.606188
8,2022,16.40692
9,2022,15.795632
10,2022,14.855207
11,2022,13.532535
12,2022,12.935892
1,2021,12.685106
2,2021,12.789579
3,2021,13.5985
4,2021,14.552126
5,2021,15.518899
6,2021,16.195297
7,2021,16.559622
8,2021,16.422329
9,2021,15.847634
10,2021,14.867587
11,2021,13.716367
12,2021,12.987403
1,2020,13.023067
2,2020,13.328509
3,2020,13.896622
4,2020,14.881842
5,2020,15.727441
6,2020,16.34296
7,2020,16.554085
8,2020,16.377996
9,2020,15.879747
10,2020,14.822214
11,2020,13.907471
12,2020,12.900166
1,2019,12.726231
2,2019,13.03777
3,2019,13.917166
4,2019,14.798772
5,2019,15.618273
6,2019,16.351402
7,2019,16.625692
8,2019,16.467312
9,2019,15.824982
10,2019,14.899426
11,2019,13.77526
12,2019,13.204629
