year,source,generation
2000,Wind,31.14
2001,Wind,38.17
2002,Wind,52.21
2003,Wind,63.18
2004,Wind,85.45
2005,Wind,104.37
2006,Wind,133.16
2007,Wind,171.11
2008,Wind,220.8
2009,Wind,276.21
2010,Wind,345.92
2011,Wind,439.88
2012,Wind,529.18
2013,Wind,634.05
2014,Wind,706.01
2015,Wind,829.57
2016,Wind,960.0
2017,Wind,1138.96
2018,Wind,1267.89
2019,Wind,1419.8
2020,Wind,1590.68
2021,Wind,1849.47
2022,Wind,2098.52
2023,Wind,2304.44
2000,Hydropower,2629.08
2001,Hydropower,2564.63
2002,Hydropower,2612.49
2003,Hydropower,2612.66
2004,Hydropower,2802.16
2005,Hydropower,2911.53
2006,Hydropower,3017.83
2007,Hydropower,3062.69
2008,Hydropower,3245.63
2009,Hydropower,3241.26
2010,Hydropower,3428.38
2011,Hydropower,3488.35
2012,Hydropower,3660.99
2013,Hydropower,3791.34
2014,Hydropower,3873.7
2015,Hydropower,3884.0
2016,Hydropower,4012.86
2017,Hydropower,4058.06
2018,Hydropower,4178.38
2019,Hydropower,4225.93
2020,Hydropower,4344.05
2021,Hydropower,4276.07
2022,Hydropower,4297.74
2023,Hydropower,4211.01
2000,Solar,1.03
2001,Solar,1.37
2002,Solar,1.71
2003,Solar,2.1
2004,Solar,2.78
2005,Solar,3.95
2006,Solar,5.42
2007,Solar,7.29
2008,Solar,11.85
2009,Solar,19.82
2010,Solar,32.2
2011,Solar,63.58
2012,Solar,96.99
2013,Solar,131.96
2014,Solar,197.74
2015,Solar,256.0
2016,Solar,328.11
2017,Solar,445.37
2018,Solar,575.12
2019,Solar,705.52
2020,Solar,853.37
2021,Solar,1055.68
2022,Solar,1323.32
2023,Solar,1629.9
2000,Other,197.15
2001,Other,191.79999
2002,Other,206.85
2003,Other,221.31
2004,Other,238.76999
2005,Other,259.66
2006,Other,276.05
2007,Other,299.38
2008,Other,319.85
2009,Other,341.95
2010,Other,385.13
2011,Other,402.32
2012,Other,434.0
2013,Other,468.45
2014,Other,508.11002
2015,Other,549.64996
2016,Other,557.58
2017,Other,592.07
2018,Other,625.74
2019,Other,659.38
2020,Other,695.7
2021,Other,745.91
2022,Other,765.05005
2023,Other,768.55
